company,ticker,sector,fiscal_year,is_fraud_case,label,revenue,cogs,sga,depreciation,net_income,receivables,current_assets,ppe_net,total_assets,current_liabilities,long_term_debt,total_liabilities,cfo,related_party_pct_revenue,auditor_changed,promoter_pledge_pct,results_filing_delay_days
Satyam Computer Services,SATYAM,IT Services,2004,1,0,3163637379.6570644,2338134878.647936,387725299.1206568,89906736.95882289,236259684.8285426,561823906.8425457,927400677.6186289,1898182427.7942386,3306395627.851712,450960133.92392397,738567667.8304421,1189527801.754366,208205407.27060857,0.02368750784082499,0,0.0020558699585500537,4
Satyam Computer Services,SATYAM,IT Services,2005,1,0,3380032187.7092743,2371085066.9805193,393107047.743533,89893146.74304055,389793502.8086638,511849913.51742953,826048677.5879056,2124129510.0135295,3511159681.187335,430308116.5322706,774690441.4848164,1204998558.017087,383738325.8959093,0.041416476008704614,0,0.029679249180769224,0
Satyam Computer Services,SATYAM,IT Services,2006,1,0,3853297696.242524,2791379644.740443,509866765.347962,137350262.56059098,279633989.67733115,552988200.0184381,988456523.4530289,2380518280.1260614,4032888845.584095,504254425.36439687,672381435.3591934,1176635860.7235904,270845905.95489776,0.02116685809140728,0,0.06093442983645065,4
Satyam Computer Services,SATYAM,IT Services,2007,1,1,4554708308.520616,3104890555.1597996,554771110.7494828,126006312.6238469,551818916.8400208,673138251.223409,1028261321.3857025,2673040402.380978,4446013019.537201,474151740.3889349,815302346.96391,1289454087.352845,368874017.53517836,0.009126210191396058,0,0.09841391772957404,0
Satyam Computer Services,SATYAM,IT Services,2008,1,1,4574985105.259237,3277295632.762712,419421172.6997062,137156563.01997605,510464559.3772208,843773863.9165306,1353520464.177822,2981404443.1861167,5034485607.551891,538626104.3250124,951287441.008532,1489913545.3335445,252025636.25012183,0.056996500837141376,1,0.17344703435935563,18
IT Services Peer 1 (matched to Satyam Computer Services),SATYAM_PEER1,IT Services,2004,0,0,682590980.5734411,506005092.8234789,90581883.8207768,19719293.3736116,40199004.70206899,113494591.3828382,193195642.1566559,409554588.34406465,746027392.505772,121690442.42737472,164663517.94798872,286353960.37536347,35006778.66376255,0.0,0,0.0633855731171918,0
IT Services Peer 1 (matched to Satyam Computer Services),SATYAM_PEER1,IT Services,2005,0,0,725218430.879731,516689643.8302722,78148134.10235453,21246032.197746646,80028309.52022935,113734050.78875577,171234390.0855481,458102147.5383732,701683974.1344947,79972622.53071645,138449877.12703446,218422499.6577509,87345649.43094134,0.021302745214728858,0,0.09913697555115289,0
IT Services Peer 1 (matched to Satyam Computer Services),SATYAM_PEER1,IT Services,2006,0,0,786434074.1671546,578460256.5334777,79192074.7526702,20741309.781889316,84965534.0939327,139017781.47953567,203459334.9094665,511166915.67288214,854569984.5043876,100426860.03264286,164221094.61215383,264647954.64479667,80440184.60490686,0.013452123045706095,0,0.07230361007410403,0
IT Services Peer 1 (matched to Satyam Computer Services),SATYAM_PEER1,IT Services,2007,0,0,843794186.620549,621680701.1910475,79688976.47296865,26041969.00689082,88329059.72742242,133004943.26164961,222207930.62332088,568691632.4740961,950528591.4115552,104957575.9804078,170575814.18745887,275533390.1678667,91730002.06478353,0.024287564384616135,0,0.1267877995997996,2
IT Services Peer 1 (matched to Satyam Computer Services),SATYAM_PEER1,IT Services,2008,0,0,923454777.3171878,680340597.4326088,85545910.30458517,35326429.749642305,93659654.53269196,140675641.124542,260012673.12534073,631925120.3141783,999786811.3233545,94289774.47707205,232116844.4997226,326406618.97679466,86019985.44734858,0.019948781332799287,0,0.04182785507377437,3
IT Services Peer 2 (matched to Satyam Computer Services),SATYAM_PEER2,IT Services,2004,0,0,1149727310.9957645,833893663.8334568,109941224.06814422,29443640.53250514,117037388.42507917,153456571.10550088,269133659.47732466,689836386.5974587,1114729258.1045592,130432583.20616296,278836025.953929,409268609.160092,116223889.03727798,0.03337398107442743,0,0.042274716037504975,0
IT Services Peer 2 (matched to Satyam Computer Services),SATYAM_PEER2,IT Services,2005,0,0,1280363232.8624563,904852880.958296,159853267.45611063,39541287.16620956,110209848.65643649,210702420.51014197,403204367.74327224,774549639.8385053,1441899777.5335784,131794359.64869705,267661055.25248525,399455414.9011823,91796498.50042036,0.014092929860365136,0,0.06578025017951702,5
IT Services Peer 2 (matched to Satyam Computer Services),SATYAM_PEER2,IT Services,2006,0,0,1454182210.6823468,1049734169.8859258,155476902.95532608,28012718.779273856,148454604.73009643,217271125.77098364,337187039.94209063,870495239.5677778,1421697363.226394,123380718.12343939,180054754.7899693,303435472.9134087,166319597.56470042,0.00712577418725969,0,0.0,7
IT Services Peer 2 (matched to Satyam Computer Services),SATYAM_PEER2,IT Services,2007,0,0,1494889301.9311426,916139896.3711337,144359467.83312634,42094221.92818563,273460625.7101752,209677446.52743495,351833112.1625577,971354561.8513683,1582282078.096911,192385259.30299205,286697165.11564565,479082424.4186377,256859969.4957907,0.006251041916300182,0,0.03809131280126674,1
IT Services Peer 2 (matched to Satyam Computer Services),SATYAM_PEER2,IT Services,2008,0,0,1656413980.4294677,1147952702.7702765,180372642.27223945,53597734.41815815,200552876.52171528,276679321.5202768,444081664.7804749,1083315897.7283828,1775863853.2701719,174865701.36250475,383275306.60768735,558141007.9701921,188964344.12292245,0.04093168308930595,0,0.1286677451237621,3
IT Services Peer 3 (matched to Satyam Computer Services),SATYAM_PEER3,IT Services,2004,0,0,482240243.73209774,362807457.7595695,66813792.4357146,15562906.185249517,23140728.57708759,79701939.97524035,128431996.38099328,289344146.23925865,485885278.06446445,56870705.095540896,91055450.68909255,147926155.78463346,22266124.762921356,0.03471491972993157,0,0.0,1
IT Services Peer 3 (matched to Satyam Computer Services),SATYAM_PEER3,IT Services,2005,0,0,513828687.3674419,356959166.78387374,64701246.54788451,14459358.715357605,46016415.2060217,99963831.84214775,135583860.73305917,323715904.9948085,549689857.2646769,58283328.80080637,108252502.90765996,166535831.70846635,39839545.24265222,0.016655438276441233,0,0.11500222973494793,3
IT Services Peer 3 (matched to Satyam Computer Services),SATYAM_PEER3,IT Services,2006,0,0,594831579.7799658,385469096.37846106,85387025.05304219,19150860.507839065,80421088.2999198,105023323.0696611,160978285.67149964,363168961.1336511,614559490.3554039,63082795.28179814,153319807.9965062,216402603.27830434,68819197.10743293,0.027823503424176613,0,0.040467447124742026,5
IT Services Peer 3 (matched to Satyam Computer Services),SATYAM_PEER3,IT Services,2007,0,0,666514715.0229714,451546343.6147659,104251514.90118909,22430801.87574051,53095055.55460928,91019153.6041313,150761802.2776903,407389765.7188092,688346454.9061466,88480279.1285163,113613976.84431866,202094255.97283494,46134432.38585279,0.02032782092876261,0,0.0,0
IT Services Peer 3 (matched to Satyam Computer Services),SATYAM_PEER3,IT Services,2008,0,0,752632239.422767,519797715.9770952,107706370.43007325,24869834.73325591,56689614.790492,121505454.09835592,202998821.4877402,457243070.66151184,809629073.4250042,59258675.83604555,137997088.7632098,197255764.59925532,56534994.19628111,0.004184056005460578,0,0.12379745240267545,3
DHFL,DHFL,Housing Finance NBFC,2014,1,0,1848850712.924404,1281194331.3197997,231858571.36453468,47484538.84666555,193926300.72629237,309992874.4567207,531848461.18314517,1109310427.7546422,1859774240.1817884,217239624.85436168,509713491.3118858,726953116.1662475,172693880.53179884,0.011777499827096798,0,0.06011530959155968,4
DHFL,DHFL,Housing Finance NBFC,2015,1,0,2010000707.520319,1406311503.8713903,294624319.4433377,68910803.78139892,173413100.89078134,397991261.1713082,518449707.43161166,1243089775.9632974,2159776161.573717,222800561.30134094,443605112.9143466,666405674.2156875,182909905.44906712,0.003977404589410746,0,0.0,0
DHFL,DHFL,Housing Finance NBFC,2016,1,0,2296527409.051011,1662281859.032672,295776039.40092504,74914881.01408458,182857815.08035913,480703737.7918717,688687546.8532966,1395208839.694747,2460025258.387953,307824403.93611926,509008922.40859455,816833326.3447138,184834626.3393108,0.022292113741150685,0,0.07650323528007334,0
DHFL,DHFL,Housing Finance NBFC,2017,1,1,2711997839.2762837,1894012923.6752605,310783952.84087056,83705204.62815629,280557663.5483056,445350734.89174825,692055305.6696808,1569429924.516161,2821599227.9460397,212151136.50240234,383374355.13628525,595525491.6386876,237096133.33885044,0.015415705693802642,0,0.016086777992241168,4
DHFL,DHFL,Housing Finance NBFC,2018,1,1,3180306743.4712167,2198993828.0062103,289355812.4969001,63562494.936303146,441996647.23521256,694711501.499904,896873033.7669278,1764670766.3268354,3168811428.3380136,433845672.0612509,646967989.0311024,1080813661.0923533,83760964.88076344,0.11178587217141271,1,0.10749906156451494,15
Housing Finance NBFC Peer 1 (matched to DHFL),DHFL_PEER1,Housing Finance NBFC,2014,0,0,3213499221.348029,2227943457.5668755,477732580.5818362,97875476.74692705,290668852.2971521,503207782.8280252,774460383.4641955,1928099532.8088174,3226067991.9338703,330891624.6738164,752574759.7254988,1083466384.399315,301372139.921919,0.0236653140723723,0,0.03568756332221541,3
Housing Finance NBFC Peer 1 (matched to DHFL),DHFL_PEER1,Housing Finance NBFC,2015,0,0,3703731578.579183,2626909369.3039412,513748098.0661871,77196764.62082748,322243394.8041472,481850972.3964831,953251722.4422654,2171129097.722041,3779406303.543135,391152556.22589403,471952709.06581146,863105265.2917055,229707238.12786886,0.014565044920673655,0,0.17102075061237013,3
Housing Finance NBFC Peer 1 (matched to DHFL),DHFL_PEER1,Housing Finance NBFC,2016,0,0,3941964745.4648805,2825549748.5498047,509702365.2490581,87492728.38073131,345350723.8527786,623926244.5935785,1080469316.1840687,2433361207.926946,4145882615.8762054,525726121.49295855,686480989.2676644,1212207110.760623,352888083.7546006,0.03628936947623991,0,0.0014925240174293725,0
Housing Finance NBFC Peer 1 (matched to DHFL),DHFL_PEER1,Housing Finance NBFC,2017,0,0,4376580401.880072,2888221254.891725,508441001.38186455,162017098.0176946,538075191.2427721,904340650.0886716,1478960974.83886,2725191064.258758,4813139571.9328,442811717.8095792,854677807.3758616,1297489525.1854408,530642605.8404659,0.004342409278194858,0,0.08187354513255607,0
Housing Finance NBFC Peer 1 (matched to DHFL),DHFL_PEER1,Housing Finance NBFC,2018,0,0,5312761362.978803,3535991311.408667,383128690.74167484,138488659.59228957,747665084.0620837,876357614.6833868,1388589985.1631365,3072584864.335461,5217705017.188843,620617138.8726815,1096601995.613763,1717219134.4864445,649958055.0926567,0.02706849640899051,0,0.0831332985192742,3
Housing Finance NBFC Peer 2 (matched to DHFL),DHFL_PEER2,Housing Finance NBFC,2014,0,0,2085518281.7729874,1507007663.5807555,207206140.39112076,49588705.13222585,204469719.69623628,347626497.12347066,558311479.2623302,1251310969.0637925,2074554056.0994163,287809221.11742806,491608389.1425452,779417610.2599733,191634774.13793978,0.01347083855335288,0,0.07742139604148998,2
Housing Finance NBFC Peer 2 (matched to DHFL),DHFL_PEER2,Housing Finance NBFC,2015,0,0,2339652699.157338,1739400334.9465487,277577320.1108142,73254944.94969869,158385569.2796499,306268844.7766106,602758343.0017443,1405832933.093573,2447132267.497648,268942266.64316165,533897495.39392895,802839762.0370905,119930541.81784773,0.00843652339734667,0,0.03531105399239351,0
