company,FY2015_label0,FY2016_label0,FY2017_label1,FY2018_label1,avg_window_year_score,avg_baseline_year_score,would_have_flagged,FY2014_label0,FY2015_label1,FY2016_label1,FY2017_label0,FY2008_label0,FY2009_label1,FY2010_label1,FY2011_label0,FY2018_label0,FY2012_label0,FY2013_label0,FY2014_label1,FY2005_label0,FY2006_label0,FY2007_label1,FY2008_label1,FY2019_label0
DHFL,0.0,0.0,0.0,1.0,0.5,0.0,True,,,,,,,,,,,,,,,,,
Fortis Healthcare,,,,,0.5,0.0,True,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
IL&FS,0.0,,1.0,,1.0,0.0,True,0.0,,1.0,,,,,,,,,,,,,,
Kingfisher Airlines,,,,,1.0,0.0,True,,,,,0.0,1.0,1.0,0.0,,,,,,,,,
Manpasand Beverages,0.0,0.0,1.0,0.009,0.504,0.0,True,,,,,,,,,,,,,,,,,
PC Jeweller,0.0,0.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,,,,
Religare Enterprises,0.0,,0.0,,0.5,0.0,False,,,1.0,,,,,,0.0,,,,,,,,
Ricoh India,,,,,0.5,0.0,True,,1.0,,,,,,,,0.0,0.0,0.0,,,,,
Satyam Computer Services,,,,,1.0,0.0,True,,,,,,,,,,,,,0.0,0.0,1.0,1.0,
Sintex Industries,0.0,0.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,,,,
Vakrangee,0.0,,1.0,,1.0,0.0,True,0.0,,1.0,,,,,,,,,,,,,,
Yes Bank,,0.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,,,,0.0
