company,ticker,sector,fiscal_year,risk_score,DSRI,GMI,TATA,cfo_to_ni,related_party_pct_revenue,auditor_changed,promoter_pledge_pct
IT Services Co 37,LIVE037,IT Services,2026,0.9999712369281083,1.2511415628378895,0.7976905548440498,0.07053971015421785,0.5935290186768417,0.025941773987150925,1,0.19098809578703077
Housing Finance NBFC Co 50,LIVE050,Housing Finance NBFC,2026,0.9999682422771088,0.8884643798626755,0.6727468865358339,0.10111156673136304,0.3670673746285454,0.09374514623563082,1,0.26771459128782676
Financial Services Co 6,LIVE006,Financial Services,2026,0.9999672558994857,1.0398723365636136,0.7181982308674308,0.08162462430907182,0.23020856009514284,0.08763204819923576,1,0.1438526006121304
Infrastructure Finance Co 47,LIVE047,Infrastructure Finance,2026,0.9999668836933429,0.957136571279384,1.0338369899616597,0.07889474828517884,0.35057058019697407,0.0167548166789375,1,0.2631554901183098
Housing Finance NBFC Co 26,LIVE026,Housing Finance NBFC,2026,0.9999561893864544,1.0756445061181867,0.9989006185160768,0.06639190211532557,0.4435242621509478,0.09728739868763459,1,0.37712867655809784
Infrastructure Finance Co 59,LIVE059,Infrastructure Finance,2026,0.9999557119640978,0.8642625680066868,1.1987345940319167,0.047167905106976174,0.5960738889277318,0.028564031917743468,1,0.18229630374161818
IT Services Co 13,LIVE013,IT Services,2026,0.9999509244797282,0.8653704905776628,0.9287175884491556,0.07939165194614158,0.29275505740865726,0.017960196187144714,0,0.3308192199427369
Private Banking Co 24,LIVE024,Private Banking,2026,0.9999476467055721,1.1133392968149916,1.0082174109905195,0.06557027583772014,0.45501964958100877,0.015968189550497027,1,0.23391814065738117
Textiles/Plastics Co 41,LIVE041,Textiles/Plastics,2026,0.9999444739448387,0.8998555733075027,0.8111010219897486,0.13533618019658183,0.05,0.020425831528232567,1,0.42213033741190215
Infrastructure Finance Co 23,LIVE023,Infrastructure Finance,2026,0.9919465449046448,0.8820124782904624,0.9521088439024664,0.013888750561318872,0.8632311502051009,0.03412513069961006,0,0.10120494199205125
Financial Services Co 18,LIVE018,Financial Services,2026,0.9914569363769777,0.6867734679453669,1.3376138696098454,0.009065814246476941,0.9187457917920643,0.03705852680544564,0,0.0724989170673274
