company,ticker,sector,fiscal_year,is_fraud_case,label,revenue,cogs,sga,depreciation,net_income,receivables,current_assets,ppe_net,total_assets,current_liabilities,long_term_debt,total_liabilities,cfo,related_party_pct_revenue,auditor_changed,promoter_pledge_pct,results_filing_delay_days
IT Services Co 1,LIVE001,IT Services,2022,0,0,1923850227.0825937,1339316785.2979043,218693959.58804345,57553892.25907842,196485143.6348119,337743140.16517484,532668826.3233856,1154310136.249556,2040615794.1954,248850386.33500788,320448870.25945,569299256.5944579,192457210.51514325,0.010411173991710012,0,0.09392251506536363,1
IT Services Co 1,LIVE001,IT Services,2023,0,0,2193223980.2003455,1547420123.2031612,233318257.51176903,79203254.30984093,224056897.3102577,335469681.8887778,578141545.3215427,1298600639.3470602,2229770802.26021,281291178.8473022,493985765.1274138,775276943.974716,251242125.7713842,0.015935849836153843,0,0.024387863546423135,0
IT Services Co 1,LIVE001,IT Services,2024,0,0,2516993381.6591654,1715382883.265593,358871521.576201,74075776.46590392,235204237.45934686,435469695.8876656,724584350.6497748,1463408327.6104302,2606555156.465403,268537535.2255884,551568095.9816501,820105631.2072384,225639625.32728124,0.02218688596729013,0,0.0935714388974095,2
IT Services Co 1,LIVE001,IT Services,2025,0,0,2597432947.3526397,1765300089.4330225,315202595.71515435,81677829.67995992,309710140.9126771,398982780.5826873,634290846.7220749,1637182224.806375,2611304742.4605155,297398682.71141744,717448315.278429,1014846997.9898465,272772099.7192085,0.02968278354591481,0,0.0,0
IT Services Co 1,LIVE001,IT Services,2026,0,0,2747857613.381766,1910083661.895736,361960023.53301185,92207475.26206933,276069043.7622059,578009644.6177593,842281865.0439599,1823690572.2196548,2972988947.994746,267460675.62285838,457921715.3743845,725382390.9972429,273245646.8706579,0.02142425736070565,0,0.08452426770338842,0
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2022,0,0,2757960099.2113338,1962156605.8480644,264993651.35356814,89454056.33344297,289763262.3269332,467791217.9356466,768217531.18767,1654776059.5268002,2891740773.03086,325522831.1727903,517144705.2015111,842667536.3743014,273427146.5018582,0.0031266556604197006,0,0.0,0
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2023,0,0,3027209093.58948,2209612605.4646897,387469094.72113544,77110900.65548044,233376334.14297467,462783744.31600785,810156930.3855034,1855779795.9920783,3035230412.490149,350827042.3639035,462869290.8179807,813696333.1818843,215377733.72327474,0.028403081374573955,0,0.0,3
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2024,0,0,3415512259.9987345,2366498916.066992,369274942.04064596,77770226.14830586,411509342.91388494,562376130.6496385,905420082.0683639,2082228802.8717775,3664102587.1733646,393511029.597172,545310526.9006116,938821556.4977837,396835763.6674981,0.02219996683971765,0,0.11795937876202184,4
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2025,0,0,3700785961.9216213,2550929071.167637,552401731.3878881,89026790.74020326,329467899.2595139,563273700.9606935,831455881.7758887,2329734965.054012,3786825472.3483033,427646342.67372453,478880757.4240165,906527100.097741,286226447.7831497,0.023135138474501955,0,0.09190632839471906,7
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2026,0,0,4054129034.581413,2483495091.4204698,520096870.4627424,101565294.92121093,544138221.4219326,582745283.574986,954479948.4687543,2602333465.734703,4090487187.239388,475079795.7412671,1036116361.2422446,1511196156.9835117,523767800.60416174,0.018413651629613118,0,0.0,0
FMCG Beverages Co 3,LIVE003,FMCG Beverages,2022,0,0,1340565000.2043307,958475646.2677613,129097917.2151405,33747941.243333705,141135522.05507264,192467955.35664746,349005440.9686434,804339000.1225984,1318116213.9415896,185844483.5484019,288993748.2881488,474838231.8365507,132310172.23555231,0.01959237473864566,0,0.01726061522853048,3
FMCG Beverages Co 3,LIVE003,FMCG Beverages,2023,0,0,1503078304.4586306,1072671087.0666605,143525767.86827564,35488147.92169737,173116817.41199687,245302127.17853218,392043503.7433342,903623085.3492079,1534016906.839849,219629854.2059299,323630204.6758184,543260058.8817483,158769903.3902081,0.031062887100598888,0,0.07143782192308068,6
